School,Vertical,3Cone,Pos,Ht,Bench,Player,Broad Jump,Wt,College,40yd,Shuttle,Drafted (tm/rnd/yr)
Oklahoma State,0.6052631578947368,0.12213740458015282,RB,0.07142857142857142,0.4444444444444444,Kendall Hunter\HuntKe00,0.7547169811320755,0.13368983957219252,College Stats,0.10465116279069753,0.1964285714285715,4th
Iowa,0.42105263157894735,?,OLB,0.42857142857142855,0.35555555555555557,Jeremiha Hunter\HuntJe00,0.6415094339622641,0.34759358288770054,College Stats,0.28488372093023223,?,0
Connecticut,0.23684210526315788,0.5000000000000003,OG,0.9285714285714286,?,Zach Hurd\HurdZa00,0.3584905660377358,0.7593582887700535,,0.5813953488372093,0.5297619047619047,0
Florida,?,?,OG,0.6428571428571429,0.3111111111111111,Maurice Hurt\HurtMa00,?,0.7700534759358288,,0.6453488372093021,?,7th
Pittsburgh,0.3684210526315789,?,FB,0.42857142857142855,0.4444444444444444,Henry Hynoski\HynoHe01,0.5471698113207547,0.44385026737967914,College Stats,0.45348837209302295,?,0
Villanova,?,?,OG,0.7142857142857143,?,Ben Ijalana\IjalBe00,?,0.7647058823529411,,0.5348837209302326,?,2nd
Alabama,0.42105263157894735,0.2709923664122138,RB,0.21428571428571427,0.37777777777777777,Mark Ingram\IngrMa01,0.6792452830188679,0.2192513368983957,College Stats,0.1976744186046511,0.4404761904761907,1st
North Carolina State,?,?,ILB,0.5,?,Nate Irving\IrviNa00,?,0.35294117647058826,College Stats,0.2674418604651163,?,3rd
Fresno State,0.23684210526315788,0.43129770992366423,OG,0.7857142857142857,0.4666666666666667,Andrew Jackson\JackAn00,0.3018867924528302,0.6684491978609626,College Stats,0.5755813953488369,0.4583333333333337,7th
Temple,0.34210526315789475,0.202290076335878,FS,0.42857142857142855,0.2222222222222222,Jaiquawn Jarrett\JarrJa00,0.5849056603773585,0.12834224598930483,College Stats,0.1976744186046511,0.15476190476190466,2nd
LSU,?,?,K,0.2857142857142857,?,Josh Jasper,?,0.0,College Stats,0.45348837209302295,?,0
Florida Atlantic,0.7368421052631579,0.3931297709923666,WR,0.6428571428571429,0.2222222222222222,Lestar Jean\JeanLe01,0.5849056603773585,0.2192513368983957,,0.19186046511627913,0.32738095238095233,0
Clemson,0.15789473684210525,0.38167938931297724,DT,0.7142857142857143,0.28888888888888886,Jarvis Jenkins\JenkJa01,0.3018867924528302,0.7272727272727273,College Stats,0.43604651162790703,0.5654761904761907,2nd
Troy,0.7368421052631579,0.24809160305343533,WR,0.21428571428571427,0.15555555555555556,Jerrel Jernigan\JernJe00,0.7924528301886793,0.058823529411764705,College Stats,0.10465116279069753,0.22023809523809534,3rd
Southern California,?,?,WR,0.35714285714285715,0.26666666666666666,Ronald Johnson\JohnRo05,?,0.13368983957219252,College Stats,0.10465116279069753,?,6th
